site_id,site_name,name_short,callout_label,callout_lon,callout_lat,region,lat,lon,spike_end_lat,spike_end_lon,avg_enterococci,samples,is_top3_worst
99020,Port Melbourne,Port Melbourne,Port Melbourne,144.909599,-37.864802,Inner North,-37.843866,144.937766,-37.756802,144.967599,367.6,150,1
99060,Hampton,Hampton,,145.03159,-37.900038,Inner North,-37.938,144.997116,-37.900038,145.03159,114.1,149,0
99070,Half Moon Bay,Half Moon Bay,,145.039906,-37.945032,Eastern Bayside,-37.968566,145.011066,-37.945032,145.039906,60.1,149,0
99100,Mentone,Mentone,,145.112888,-37.960328,Eastern Bayside,-37.9891,145.058733,-37.960328,145.112888,163.2,150,0
99160,Seaford,Seaford,,145.170737,-38.103874,Eastern Bayside,-38.103316,145.12455,-38.103874,145.170737,92.6,150,0
99170,Frankston Surf Life Saving Club,Frankston SLC,,145.198223,-38.154894,Eastern Bayside,-38.142333,145.11854,-38.154894,145.198223,282.4,152,0
99240,Safety Beach,Safety Beach,,145.017035,-38.347874,Mornington Peninsula,-38.311266,144.992366,-38.347874,145.017035,84.6,149,0
99280,Blairgowrie,Blairgowrie,,144.765499,-38.422923,Mornington Peninsula,-38.36095,144.781716,-38.422923,144.765499,178.1,149,0
99290,Sorrento,Sorrento,,144.739285,-38.377376,Mornington Peninsula,-38.343516,144.7528,-38.377376,144.739285,57.7,150,0
99500,The Dell,The Dell,,144.508807,-38.16241,Western Shore,-38.152496,144.563007,-38.16241,144.508807,131.8,154,0
99510,Eastern Beach,Eastern Beach,,144.321564,-38.151466,Western Shore,-38.146666,144.37085,-38.151466,144.321564,106.4,155,0
99520,Portsea,Portsea,,144.704729,-38.333594,Mornington Peninsula,-38.318983,144.713816,-38.333594,144.704729,12.8,142,0
99530,Rye,Rye,,144.828551,-38.423751,Mornington Peninsula,-38.370183,144.8321,-38.423751,144.828551,125.1,151,0
99550,Dromana,Dromana,,144.989144,-38.381646,Mornington Peninsula,-38.332033,144.964633,-38.381646,144.989144,132.9,150,0
99580,Canadian Bay,Canadian Bay,,145.140884,-38.189543,Eastern Bayside,-38.17175,145.083083,-38.189543,145.140884,158.8,151,0
99590,Frankston Coast Guard,Frankston Coast Guard,Frankston CG,145.214537,-38.164591,Eastern Bayside,-38.147043,145.115502,-38.164591,145.214537,439.1,149,1
99620,Mordialloc,Mordialloc,,145.134126,-37.988952,Eastern Bayside,-38.008817,145.0833,-37.988952,145.134126,129.2,149,0
99630,Sandringham,Sandringham,,145.035149,-37.917481,Eastern Bayside,-37.950796,145.001354,-37.917481,145.035149,97.7,147,0
99650,Elwood,Elwood,,145.01117,-37.845555,Inner North,-37.889061,144.983613,-37.845555,145.01117,115.1,148,0
99660,St Kilda,St Kilda,,145.011421,-37.798282,Inner North,-37.868166,144.974033,-37.798282,145.011421,272.6,151,0
99690,Sandridge,Sandridge,,144.931844,-37.779628,Inner North,-37.840033,144.916412,-37.779628,144.931844,168.7,149,0
99700,Williamstown,Williamstown,,144.902099,-37.820379,Inner North,-37.867962,144.893233,-37.820379,144.902099,101.7,149,0
99710,Altona,Altona,,144.82697,-37.818802,Inner North,-37.871066,144.83125,-37.818802,144.82697,119.3,150,0
99730,Werribee Sth,Werribee Sth,,144.651875,-37.942369,Western Shore,-37.974916,144.692783,-37.942369,144.651875,118.6,153,0
99761,Portarlington Beach (new site),Portarlington,,144.615544,-38.114916,Western Shore,-38.112672,144.650817,-38.114916,144.615544,54.2,179,0
99770,St Leonards,St Leonards,,144.685881,-38.188791,Western Shore,-38.170783,144.719166,-38.188791,144.685881,62.2,153,0
99990,Beaumaris,Beaumaris,,145.070412,-37.97332,Eastern Bayside,-37.994966,145.03275,-37.97332,145.070412,81.9,149,0
99991,Brighton Life Saving Club,Brighton LSC,,145.013207,-37.880881,Inner North,-37.917297,144.986083,-37.880881,145.013207,89.5,136,0
99992,Mornington Life Saving Club,Mornington LSC,,145.118809,-38.257301,Mornington Peninsula,-38.21363,145.044181,-38.257301,145.118809,324.5,153,0
99993,Rosebud Life Saving Club,Rosebud LSC,,144.942653,-38.393538,Mornington Peninsula,-38.347306,144.92806,-38.393538,144.942653,102.0,150,0
99994,Mt Martha Life Saving Club,Mt Martha LSC,,145.041892,-38.293455,Mornington Peninsula,-38.265248,145.013913,-38.293455,145.041892,68.5,148,0
99995,Carrum Surf Life Saving Club,Carrum SLC,Carrum SLC,145.211301,-38.068485,Eastern Bayside,-38.076393,145.12064,-38.068485,145.211301,359.5,153,1
99996,Aspendale Life Saving Club,Aspendale LSC,,145.142304,-38.016104,Eastern Bayside,-38.028173,145.100253,-38.016104,145.142304,83.1,150,0
99997,South Melbourne Life Saving Club,South Melbourne LSC,,144.962725,-37.804276,Inner North,-37.847497,144.94625,-37.804276,144.962725,92.9,149,0
99998,Santa Casa,Santa Casa,,144.632622,-38.285951,Western Shore,-38.272293,144.648588,-38.285951,144.632622,19.2,153,0
99999,Black Rock Life Saving Club,Black Rock LSC,,145.038912,-37.955968,Eastern Bayside,-37.974777,145.014242,-37.955968,145.038912,41.8,147,0
